Depth_m,North_Atlantic_min,North_Atlantic_max,Coastal_N Atlantic_min,Coastal_N Atlantic_max,Equatorial_Atlant_min,Equatorial_Atlant_max,Coastal_Eq_ Atlant_min,Coastal_Eq_ Atlant_max,South_Atlantic_min,South_Atlantic_max,Coastal_S_Atlantic_min,Coastal_S_Atlantic_max,North_Pacific_min,North_Pacific_max,Coastal_N_Pac_min,Coastal_N_Pac_max,Equatorial_Pac_min,Equatorial_Pac_max,Coastal_Eq Pac_min,Coastal_Eq Pac_max,South_Pacific_min,South_Pacific_max,Coastal_S_Pac_min,Coastal_S_Pac_max,North_Indian_min,North_Indian_max,Coastal_N_Indian_min,Coastal_N_Indian_max,Equatorial_Indian_min,Equatorial_Indian_max,Coastal_Eq Indian_min,Coastal_Eq Indian_max,South_Indian_min,South_Indian_max,Coastal_S_Indian_min,Coastal_S_Indian_max,Antarctic_min,Antarctic_max,Arctic_min,Arctic_max,Mediteranean_min,Mediteranean_max,Black_Sea_min,Black_Sea_max,Baltic_Sea_min,Baltic_Sea_max,Persian_Gulf_min,Persian_Gulf_max,Red_Sea_min,Red_Sea_max,Sulu_Sea_min,Sulu_Sea_max,NW_Pacific_min,NW_Pacific_max,Yellow_Sea_min,Yellow_Sea_max,Japan_Sea_min,Japan_Sea_max,Seto_Inland_Sea_min,Seto_Inland_Sea_max
0,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,20.000,0.000,34.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,35.000,0.000,35.000,-3.000,33.000,-2.000,32.000,-3.000,32.000,3.000,32.000
5,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,20.000,0.000,34.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,35.000,0.000,35.000,-3.000,33.000,-2.000,32.000,-3.000,32.000,3.000,32.000
10,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,20.000,0.000,34.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,35.000,0.000,35.000,-3.000,33.000,-2.000,31.500,-3.000,31.000,3.500,30.000
15,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,20.000,0.000,34.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,35.000,0.000,35.000,-3.000,33.000,-2.000,31.500,-3.000,31.000,3.500,30.000
20,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,20.000,0.000,34.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,34.000,0.000,35.000,-3.000,33.000,-2.000,31.000,-3.000,30.000,4.000,29.000
25,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,20.000,0.000,34.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,34.000,0.000,35.000,-3.000,33.000,-2.000,31.000,-3.000,30.000,4.000,29.000
30,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,30.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,34.000,0.000,35.000,-3.000,32.000,-2.000,30.500,-3.000,29.000,4.500,28.000
35,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,30.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,34.000,0.000,35.000,-3.000,32.000,-2.000,30.500,-3.000,29.000,4.500,28.000
40,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,30.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,34.000,0.000,35.000,-3.000,32.000,-2.000,30.500,-3.000,29.000,4.500,28.000
45,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,30.000,0.000,27.000,-2.000,25.000,-3.000,35.000,14.000,34.000,0.000,35.000,-3.000,32.000,-2.000,30.500,-3.000,29.000,4.500,28.000
50,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,30.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,32.000,0.000,35.000,-3.000,30.000,-2.000,30.000,-3.000,29.000,5.000,27.000
55,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,30.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,32.000,0.000,35.000,-3.000,30.000,-2.000,30.000,-3.000,29.000,5.000,27.000
60,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,30.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,32.000,0.000,35.000,-3.000,30.000,-2.000,30.000,-3.000,29.000,5.000,27.000
65,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,30.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,32.000,0.000,35.000,-3.000,30.000,-2.000,30.000,-3.000,29.000,5.000,27.000
70,-2.100,32.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,30.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,32.000,0.000,35.000,-3.000,30.000,-2.000,30.000,-3.000,29.000,5.000,27.000
75,-2.000,30.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,28.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,30.000,0.000,35.000,-2.000,29.000,0.000,29.000,-3.000,25.000,7.500,25.000
80,-2.000,30.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,28.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,30.000,0.000,35.000,-2.000,29.000,0.000,29.000,-3.000,25.000,7.500,25.000
85,-2.000,30.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,28.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,30.000,0.000,35.000,-2.000,29.000,0.000,29.000,-3.000,25.000,7.500,25.000
90,-2.000,30.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,28.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,30.000,0.000,35.000,-2.000,29.000,0.000,29.000,-3.000,25.000,7.500,25.000
95,-2.000,30.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,32.000,-2.100,35.000,-2.100,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,-2.000,32.000,-2.100,35.000,3.000,35.000,-2.100,35.000,5.000,35.000,5.000,35.000,0.000,35.000,-2.100,35.000,-2.400,15.000,-3.000,14.000,3.000,28.000,3.000,30.000,-2.000,25.000,-3.000,35.000,13.000,30.000,0.000,35.000,-2.000,29.000,0.000,29.000,-3.000,25.000,7.500,25.000
100,-2.000,30.000,-2.100,30.000,5.000,30.000,5.000,30.000,0.000,32.000,-2.100,30.000,-2.100,30.000,-2.100,30.000,5.000,30.000,5.000,30.000,-2.000,30.000,-2.100,30.000,3.000,30.000,-2.100,30.000,5.000,30.000,5.000,30.000,0.000,30.000,-2.100,30.000,-2.400,15.000,-3.000,14.000,3.000,26.000,3.000,30.000,-2.000,25.000,-3.000,32.000,13.000,30.000,0.000,30.000,-1.000,28.000,3.000,28.000,-3.000,23.000,10.000,24.000
125,-2.000,28.000,-2.100,30.000,5.000,30.000,5.000,30.000,-1.500,30.000,-2.100,30.000,-2.100,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,-2.000,30.000,-2.100,30.000,3.000,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,0.000,30.000,-2.100,30.000,-2.400,15.000,-3.000,14.000,3.000,26.000,3.000,30.000,-2.000,25.000,-3.000,32.000,13.000,30.000,0.000,30.000,0.000,27.000,3.000,26.500,-2.000,21.000,10.000,22.000
150,-2.000,28.000,-2.100,30.000,5.000,30.000,5.000,30.000,-1.500,30.000,-2.100,30.000,-2.100,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,-2.000,30.000,-2.100,30.000,3.000,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,0.000,30.000,-2.100,30.000,-2.400,15.000,-3.000,10.000,3.000,26.000,5.000,30.000,-2.000,25.000,-3.000,32.000,13.000,30.000,0.000,30.000,0.000,26.000,3.000,25.000,-1.000,18.000,10.000,20.000
175,-2.000,28.000,-2.100,30.000,5.000,30.000,5.000,30.000,-1.500,30.000,-2.100,30.000,-2.100,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,-2.000,30.000,-2.100,30.000,3.000,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,0.000,30.000,-2.100,30.000,-2.400,15.000,-3.000,10.000,3.000,26.000,5.000,30.000,-2.000,25.000,-3.000,32.000,13.000,30.000,0.000,30.000,0.000,26.000,3.000,25.000,-1.000,18.000,10.000,20.000
200,-2.000,28.000,-2.100,30.000,5.000,30.000,5.000,30.000,-1.500,30.000,-2.100,30.000,-2.100,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,-2.000,30.000,-2.100,30.000,3.000,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,0.000,30.000,-2.100,30.000,-2.400,15.000,-3.000,10.000,3.000,22.000,5.000,30.000,-2.000,16.000,-3.000,32.000,13.000,28.000,0.000,30.000,0.000,24.500,3.000,24.000,-1.000,14.000,8.000,17.000
225,-2.000,28.000,-2.100,30.000,5.000,30.000,5.000,30.000,-1.500,30.000,-2.100,30.000,-2.100,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,-2.000,30.000,-2.100,30.000,3.000,30.000,-2.100,30.000,3.000,30.000,3.000,30.000,0.000,30.000,-2.100,30.000,-2.400,15.000,-3.000,10.000,3.000,22.000,5.000,30.000,-2.000,16.000,-3.000,32.000,13.000,28.000,0.000,30.000,0.000,24.500,3.000,24.000,-1.000,14.000,8.000,17.000
250,-1.700,28.000,-2.100,28.000,5.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,22.000,5.000,25.000,-2.000,16.000,-3.000,32.000,13.000,28.000,0.000,28.000,0.000,23.000,5.000,22.500,-1.000,12.000,7.000,14.000
275,-1.700,28.000,-2.100,28.000,5.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,22.000,5.000,25.000,-2.000,16.000,-3.000,32.000,13.000,28.000,0.000,28.000,0.000,23.000,5.000,22.500,-1.000,12.000,7.000,14.000
300,-1.700,28.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,22.000,5.000,25.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,0.000,21.500,7.000,21.000,-1.000,10.000,6.000,11.000
325,-1.700,28.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,22.000,5.000,25.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,0.000,21.500,7.000,21.000,-1.000,10.000,6.000,11.000
350,-1.700,28.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,22.000,5.000,25.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,0.000,21.500,7.000,21.000,-1.000,10.000,6.000,11.000
375,-1.700,28.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,22.000,5.000,25.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,0.000,21.500,7.000,21.000,-1.000,10.000,6.000,11.000
400,-1.500,20.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,20.000,5.000,20.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,0.000,20.000,6.000,18.000,-1.000,3.000,5.000,10.000
425,-1.500,20.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,20.000,5.000,20.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,0.000,20.000,6.000,18.000,-1.000,3.000,5.000,10.000
450,-1.500,20.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,20.000,5.000,20.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,0.000,20.000,6.000,18.000,-1.000,3.000,5.000,10.000
475,-1.500,20.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,3.000,28.000,3.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,20.000,5.000,20.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,0.000,20.000,6.000,18.000,-1.000,3.000,5.000,10.000
500,-1.500,20.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,0.000,28.000,0.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,0.000,28.000,0.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,20.000,5.000,20.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,1.000,19.000,5.500,15.000,0.000,1.100,5.000,10.000
550,-1.500,20.000,-2.100,28.000,3.000,28.000,0.000,28.000,-1.500,28.000,-2.100,28.000,-2.100,28.000,-2.100,28.000,0.000,28.000,0.000,28.000,-2.000,28.000,-2.100,28.000,3.000,28.000,-2.100,28.000,0.000,28.000,0.000,28.000,0.000,28.000,-2.100,28.000,-2.400,15.000,-3.000,10.000,3.000,20.000,5.000,20.000,-2.000,16.000,-3.000,32.000,10.000,28.000,0.000,28.000,1.000,19.000,5.500,15.000,0.000,1.100,5.000,10.000
600,-1.500,20.000,-2.100,20.000,3.000,20.000,0.000,20.000,-1.500,20.000,-2.100,20.000,-2.100,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,-2.000,20.000,-2.100,20.000,0.000,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,0.000,20.000,-2.100,20.000,-2.400,10.000,-3.000,9.000,3.000,20.000,5.000,17.000,-2.000,16.000,-3.000,32.000,10.000,26.000,0.000,20.000,1.800,16.500,5.000,12.500,0.000,1.000,5.000,10.000
650,-1.500,20.000,-2.100,20.000,3.000,20.000,0.000,20.000,-1.500,20.000,-2.100,20.000,-2.100,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,-2.000,20.000,-2.100,20.000,0.000,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,0.000,20.000,-2.100,20.000,-2.400,10.000,-3.000,9.000,3.000,20.000,5.000,17.000,-2.000,16.000,-3.000,32.000,10.000,26.000,0.000,20.000,1.800,16.500,5.000,12.500,0.000,1.000,5.000,10.000
700,-1.500,20.000,-2.100,20.000,3.000,20.000,0.000,20.000,-1.500,20.000,-2.100,20.000,-2.100,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,-2.000,20.000,-2.100,20.000,0.000,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,0.000,20.000,-2.100,20.000,-2.400,10.000,-3.000,9.000,3.000,20.000,5.000,17.000,-2.000,16.000,-3.000,32.000,10.000,26.000,0.000,20.000,2.000,14.000,4.500,10.000,0.000,0.800,5.000,10.000
750,-1.500,20.000,-2.100,20.000,3.000,20.000,0.000,20.000,-1.500,20.000,-2.100,20.000,-2.100,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,-2.000,20.000,-2.100,20.000,0.000,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,0.000,20.000,-2.100,20.000,-2.400,10.000,-3.000,9.000,3.000,20.000,5.000,17.000,-2.000,16.000,-3.000,32.000,10.000,26.000,0.000,20.000,2.000,14.000,4.500,10.000,0.000,0.800,5.000,10.000
800,-1.500,20.000,-2.100,20.000,-0.500,20.000,0.000,20.000,-1.500,20.000,-2.100,20.000,-2.100,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,-2.000,20.000,-2.100,20.000,0.000,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,0.000,20.000,-2.100,20.000,-2.400,10.000,-3.000,9.000,3.000,20.000,5.000,17.000,-2.000,16.000,-3.000,32.000,10.000,26.000,0.000,20.000,2.000,11.000,4.000,7.600,0.000,0.620,5.000,10.000
